App Name,App Size,App Review,App Category,App Rating,App Installs,App Type,App Content Rating,App Genres,Last Updated,Current App Version,Android Version,Average Sentiment Polarity,Average Sentiment Subjectivity
Genius Scan PDF Scanner,13.91,42492,BUSINESS,4.4,1000000,Free,Everyone,Business,11/07/2018,Varies with device,Varies with device,0.243160676,0.518333686
Cooking Madness A Chefs Restaurant Games,49,358817,GAME,4.7,10000000,Free,Everyone,Arcade,30/07/2018,1.2.2,4.1 and up,0.013550645,0.516756288
Fruit Ninja,41,5091448,GAME,4.3,100000000,Free,Everyone,Arcade,12/07/2018,2.6.7.487220,4.1 and up,0.154794547,0.493289171
Barbie Life,63,133117,FAMILY,3.9,5000000,Free,Everyone,Casual;Pretend Play,12/07/2018,2.6,4.1 and up,0.162612972,0.393347953
Flight Hotel Booking App ixigo,24.52,45562,TRAVEL_AND_LOCAL,4.4,5000000,Free,Everyone,Travel & Local,30/07/2018,4.0.9.1,4.1 and up,0.341024531,0.521059404
BuzzFeed News Tasty Quizzes,13,131028,NEWS_AND_MAGAZINES,4.3,5000000,Free,Teen,News & Magazines,30/07/2018,5.38,4.4 and up,0.199296334,0.474987145
FateGrand Order English,55,16601,GAME,4.4,500000,Free,Teen,Role Playing,26/07/2018,1.18.0,4.0 and up,0.060880931,0.528551063
Even organize your money get paid early,21,12304,FINANCE,4.8,100000,Free,Everyone,Finance,02/08/2018,6.0.16,5.0 and up,0.283928571,0.462738095
Coloring book moana,14,967,ART_AND_DESIGN,3.9,500000,Free,Everyone,Art & Design;Pretend Play,15/01/2018,2.0.0,4.0.3 and up,0.152651515,0.641540404
Coloring book moana,14,974,FAMILY,3.9,500000,Free,Everyone,Art & Design;Pretend Play,15/01/2018,2.0.0,4.0.3 and up,0.152651515,0.641540404
Fun Kid Racing Motocross,27.93,59768,FAMILY,4.1,10000000,Free,Everyone,Racing;Action & Adventure,07/08/2018,3.53,4.2 and up,0.190795455,0.513577441
Fun Kid Racing Motocross,27.93,59729,FAMILY,4.1,10000000,Free,Everyone,Racing;Action & Adventure,27/06/2018,3.46,4.2 and up,0.190795455,0.513577441
Hinge Dating Relationships,12,7779,DATING,4.2,500000,Free,Mature 17+,Dating,03/08/2018,6.1.3,5.0 and up,0.156798802,0.496280812
Daviss Drug Guide for Nurses,44,572,MEDICAL,4.5,50000,Free,Everyone,Medical,13/07/2018,4.3.2.315,4.4 and up,0.314814815,0.425925926
App vault,8.77,25094,TOOLS,3.4,10000000,Free,Everyone,Tools,18/07/2018,Varies with device,Varies with device,-0.043535058,0.476163420
Chrome Beta,12.87,228794,PRODUCTIVITY,4.4,10000000,Free,Everyone,Productivity,06/08/2018,68.0.3440.91,Varies with device,0.231625172,0.377881620
Chrome Beta,12.87,228755,PRODUCTIVITY,4.4,10000000,Free,Everyone,Productivity,19/07/2018,68.0.3440.70,Varies with device,0.231625172,0.377881620
Hide Something Photo Video,5.3,225103,SOCIAL,4.6,5000000,Free,Everyone,Social,13/06/2018,5.1.1,4.1 and up,0.240710235,0.512799162
Amex Mobile,32,24729,FINANCE,4.3,1000000,Free,Everyone,Finance,03/08/2018,6.7.0,5.0 and up,0.175666326,0.417701245
Alarm Clock,8.77,114788,TOOLS,4.3,5000000,Free,Everyone,Tools,22/01/2018,Varies with device,Varies with device,0.174667283,0.371872186
AliExpress Smarter Shopping Better Living,15.9,5917485,SHOPPING,4.6,100000000,Free,Teen,Shopping,06/08/2018,Varies with device,Varies with device,0.038380545,0.617766290
AliExpress Smarter Shopping Better Living,15.9,5911055,SHOPPING,4.6,100000000,Free,Teen,Shopping,01/08/2018,Varies with device,Varies with device,0.038380545,0.617766290
AliExpress Smarter Shopping Better Living,15.9,5916606,SHOPPING,4.6,100000000,Free,Teen,Shopping,06/08/2018,Varies with device,Varies with device,0.038380545,0.617766290
AliExpress Smarter Shopping Better Living,15.9,5916569,SHOPPING,4.6,100000000,Free,Teen,Shopping,06/08/2018,Varies with device,Varies with device,0.038380545,0.617766290
Cricbuzz Live Cricket Scores News,24.18,838738,SPORTS,4.5,50000000,Free,Everyone,Sports,18/05/2018,Varies with device,Varies with device,0.097012014,0.565818618
Cricbuzz Live Cricket Scores News,24.18,838765,SPORTS,4.5,50000000,Free,Everyone,Sports,18/05/2018,Varies with device,Varies with device,0.097012014,0.565818618
Free Dating App Meet Local Singles Flirt Chat,15.83,825,DATING,4.1,100000,Free,Mature 17+,Dating,28/12/2017,1.0.5,4.0 and up,-0.050325833,0.559581583
Cut the Rope FULL FREE,49,2122705,FAMILY,4.4,100000000,Free,Everyone,Puzzle,05/07/2018,3.7.2,4.1 and up,0.013067754,0.570271181
Cut the Rope FULL FREE,49,2123793,GAME,4.4,100000000,Free,Everyone,Puzzle,05/07/2018,3.7.2,4.1 and up,0.013067754,0.570271181
Cut the Rope FULL FREE,49,2123381,GAME,4.4,100000000,Free,Everyone,Puzzle,05/07/2018,3.7.2,4.1 and up,0.013067754,0.570271181
Hopper Watch Book Flights,24.52,52028,TRAVEL_AND_LOCAL,4.4,5000000,Free,Everyone,Travel & Local,29/06/2018,Varies with device,5.0 and up,0.178044210,0.476137484
Hopper Watch Book Flights,24.52,52029,TRAVEL_AND_LOCAL,4.4,5000000,Free,Everyone,Travel & Local,29/06/2018,Varies with device,5.0 and up,0.178044210,0.476137484
Apartment Decorating Ideas,5.7,1478,HOUSE_AND_HOME,3.9,100000,Free,Everyone,House & Home,13/03/2015,1.2,3.0 and up,0.245,0.2
Bible,13.19,2440695,BOOKS_AND_REFERENCE,4.7,100000000,Free,Teen,Books & Reference,02/08/2018,Varies with device,Varies with device,0.363495437,0.533625247
Galactic Core Free Wallpaper,0.83,69417,PERSONALIZATION,4.1,10000000,Free,Everyone,Personalization,01/05/2014,2.41,2.1 and up,0.247567568,0.657813843
